               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.062362,            0.051738,            0.048948,             0.13828,             0.51436,             0.10906,            0.049849,             0.04781,            0.051851,            0.045044,           0.0022444,           0.0022444,            0.077944
                  61,            0.064537,            0.051586,            0.050284,            0.058408,              0.5872,             0.10484,            0.057812,             0.05654,            0.053794,            0.044995,           0.0022752,           0.0022752,            0.077575
                  62,            0.084941,             0.05182,             0.05734,             0.22639,             0.58487,             0.14637,             0.08811,            0.052235,            0.048124,             0.04491,           0.0023057,           0.0023057,            0.077206
                  63,            0.069274,            0.054854,            0.054297,             0.23941,             0.58944,             0.16162,            0.096878,            0.047964,            0.047264,            0.044907,            0.002336,            0.002336,            0.076836
                  64,            0.052165,            0.050774,            0.044979,             0.14609,             0.56453,             0.12987,            0.076096,            0.054593,            0.053916,            0.044842,           0.0023659,           0.0023659,            0.076466
                  65,            0.073547,            0.056014,            0.054033,             0.14883,             0.67205,             0.15841,            0.093929,            0.044835,            0.050732,            0.044839,           0.0023956,           0.0023956,            0.076096
                  66,             0.06424,            0.057244,            0.049323,             0.31375,             0.35313,             0.14792,            0.075289,            0.046671,            0.051971,            0.044792,           0.0024249,           0.0024249,            0.075725
                  67,            0.069354,            0.051256,            0.054886,             0.14145,             0.65278,             0.13658,              0.0863,            0.052686,             0.05056,            0.044761,            0.002454,            0.002454,            0.075354
                  68,            0.072147,            0.052172,            0.052928,             0.25018,             0.51721,             0.16656,            0.097194,            0.047167,            0.049549,            0.044736,           0.0024827,           0.0024827,            0.074983
                  69,            0.053537,            0.056319,            0.044866,             0.14435,             0.69722,             0.15524,            0.080366,            0.046045,            0.056548,            0.044716,           0.0025111,           0.0025111,            0.074611
                  70,            0.087524,            0.055618,             0.05949,             0.23167,             0.65365,             0.16144,            0.087856,            0.043143,            0.049106,            0.044668,           0.0025392,           0.0025392,            0.074239
                  71,            0.070934,            0.046521,            0.054314,             0.34332,             0.30266,             0.14172,            0.078398,            0.042473,             0.05102,            0.044601,            0.002567,            0.002567,            0.073867
                  72,            0.071172,            0.054376,            0.053202,             0.26564,             0.25289,             0.12888,            0.053016,            0.056743,            0.056671,            0.044562,           0.0025945,           0.0025945,            0.073495
                  73,            0.076136,            0.053329,            0.054156,            0.072856,             0.72222,             0.15208,            0.070184,             0.04783,            0.050591,            0.044597,           0.0026217,           0.0026217,            0.073122
                  74,            0.068113,            0.055739,            0.054686,             0.55762,             0.22988,             0.16554,            0.094304,            0.046545,            0.051173,            0.044545,           0.0026485,           0.0026485,            0.072749
                  75,             0.06573,            0.055981,            0.048562,             0.55648,             0.12789,              0.1372,            0.067571,            0.057246,            0.052971,            0.044608,            0.002675,            0.002675,            0.072375
                  76,            0.090611,            0.053033,            0.058741,             0.24089,             0.58857,             0.17497,             0.10388,            0.050173,            0.047217,            0.044566,           0.0027012,           0.0027012,            0.072001
                  77,             0.06978,            0.048165,              0.0533,             0.21632,             0.64444,             0.18109,            0.088096,            0.048029,            0.049822,            0.044499,            0.002727,            0.002727,            0.071627
                  78,            0.084811,            0.049191,            0.063815,              0.0734,             0.67243,              0.1839,            0.095188,            0.045881,            0.049253,            0.044358,           0.0027525,           0.0027525,            0.071253
                  79,            0.057895,            0.049621,            0.050085,             0.55033,             0.17946,             0.15351,            0.085069,            0.047397,            0.052712,             0.04426,           0.0027777,           0.0027777,            0.070878
                  80,            0.071123,            0.050612,            0.053986,             0.21605,             0.58803,             0.15088,            0.067312,            0.049111,            0.049583,            0.044236,           0.0028025,           0.0028025,            0.070503
                  81,            0.073584,            0.053743,            0.058932,             0.65598,             0.19534,             0.21203,             0.07495,            0.044369,            0.054926,            0.044265,            0.002827,            0.002827,            0.070127
                  82,             0.05148,            0.052045,            0.044504,              0.6603,             0.16844,             0.22265,             0.10718,            0.042151,            0.048091,            0.044206,           0.0028511,           0.0028511,            0.069751
                  83,            0.068008,             0.04745,             0.05273,             0.11338,             0.60182,             0.17346,            0.085064,            0.050014,            0.052122,            0.044235,           0.0028749,           0.0028749,            0.069375
                  84,            0.069217,            0.054367,             0.05306,             0.24226,             0.65275,             0.22177,             0.12192,            0.040421,            0.048281,            0.044152,           0.0028983,           0.0028983,            0.068998
                  85,            0.056505,            0.047668,            0.053355,             0.22118,             0.68578,             0.22119,             0.11899,            0.043323,            0.052512,            0.044098,           0.0029214,           0.0029214,            0.068621
                  86,            0.058225,            0.055254,            0.048908,             0.48549,             0.15681,             0.13399,            0.045921,            0.053393,            0.052536,            0.044085,           0.0029442,           0.0029442,            0.068244
                  87,            0.072672,            0.050682,            0.053122,             0.28134,                0.49,             0.19052,             0.10629,            0.046651,            0.046967,            0.044076,           0.0029665,           0.0029665,            0.067867
                  88,            0.068384,            0.048961,            0.053979,             0.23808,             0.62113,             0.22439,             0.10524,            0.046864,            0.046848,            0.044039,           0.0029885,           0.0029885,            0.067489
                  89,            0.055614,            0.045994,            0.050338,              0.1661,             0.63027,             0.23634,             0.11107,            0.044306,            0.051301,            0.043959,           0.0030102,           0.0030102,             0.06711
                  90,            0.072034,             0.05515,            0.058795,             0.50158,             0.29284,             0.24933,             0.07389,            0.046693,            0.055724,            0.043928,           0.0030315,           0.0030315,            0.066731
